Degrees,Speed,Duration,Label
90,100,5,Turn right 90 degrees at Speed A
90,100,5,Stop at 90 degrees.
-90,90,5,Turn left for 180 degrees at speed B
-90,100,5,Stop at left. -90 degrees.
0,80,1,Turn right 90 degrees at Speed C
0,100,5,Stop at 0 degrees.
-90,100,5,Turn left for 90 degrees at speed A
-90,100,9,Stop at left -90 degrees
90,80,2,Turn right 180 degrees at Speed C
90,100,8,Stop at 90 degrees
0,100,5,Turn left for 90 degrees at speed A
0,100,10,Stop at 0 degrees
-90,80,1,Turn left for 90 degrees at speed C
-90,100,4,Stop at -90 degrees
90,80,2,Turn right 180 degrees at speed C
90,100,3,Stop at 90 degrees
0,100,5,Turn left 90 degrees at speed A
0,100,5,Stop at 0 degrees
90,100,5,Turn right 90 degrees at speed A
90,100,20,Stop at 90 degrees
-90,90,5,Turn left 180 degrees at speed B
-90,100,20,Stop at -90 degrees
90,100,10,Turn right 180 degrees at speed A
90,100,5,Stop at 90 degrees
-90,80,2,Turn left 180 degrees at speed C
-90,100,2,Stop at -90 degrees
0,80,1,Turn left 90 degrees at speed C
0,100,10,Stop at 0 degrees
-90,100,5,Turn left 90 degrees at speed A
-90,100,5,Stop at -90 degrees
0,100,5,Turn right 90 degrees at speed A
0,100,15,Stops at 0 degrees
90,80,1,Turn right 90 degrees at speed C
90,100,2,Stop at 90 degrees
-90,80,2,Turn left 180 degrees at speed C
-90,100,10,Stop at -90 degrees
90,100,10,Turns right 180 degrees at Speed A
90,100,5,Stops at 90 degrees
0,80,1,Turns left 90 degrees at speed C
0,100,14,Stops at 0 degrees
